"Label (Grouping)","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","670,265","±1,466","670,265","(X)"
"    Occupied housing units","576,429","±4,899","86.0%","±0.7"
"    Vacant housing units","93,836","±4,665","14.0%","±0.7"
"    Homeowner vacancy rate","3.3","±0.7","(X)","(X)"
"    Rental vacancy rate","7.7","±1.0","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","670,265","±1,466","670,265","(X)"
"    1-unit, detached","55,767","±3,611","8.3%","±0.5"
"    1-unit, attached","393,469","±6,908","58.7%","±1.0"
"    2 units","57,159","±3,803","8.5%","±0.6"
"    3 or 4 units","42,918","±3,816","6.4%","±0.6"
"    5 to 9 units","27,782","±3,006","4.1%","±0.4"
"    10 to 19 units","13,041","±1,796","1.9%","±0.3"
"    20 or more units","79,032","±4,204","11.8%","±0.6"
"    Mobile home","1,052","±610","0.2%","±0.1"
"    Boat, RV, van, etc.","45","±74","0.0%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","670,265","±1,466","670,265","(X)"
"    Built 2005 or later","16,273","±1,969","2.4%","±0.3"
"    Built 2000 to 2004","9,912","±1,742","1.5%","±0.3"
"    Built 1990 to 1999","18,746","±2,812","2.8%","±0.4"
"    Built 1980 to 1989","24,436","±2,165","3.6%","±0.3"
"    Built 1970 to 1979","52,850","±3,440","7.9%","±0.5"
"    Built 1960 to 1969","71,604","±4,698","10.7%","±0.7"
"    Built 1950 to 1959","113,194","±5,208","16.9%","±0.8"
"    Built 1940 to 1949","96,914","±5,039","14.5%","±0.8"
"    Built 1939 or earlier","266,336","±7,034","39.7%","±1.0"
"ROOMS","","","",""
"    Total housing units","670,265","±1,466","670,265","(X)"
"    1 room","27,552","±3,559","4.1%","±0.5"
"    2 rooms","22,651","±2,497","3.4%","±0.4"
"    3 rooms","86,547","±4,721","12.9%","±0.7"
"    4 rooms","86,195","±4,622","12.9%","±0.7"
"    5 rooms","92,477","±5,147","13.8%","±0.8"
"    6 rooms","192,153","±6,223","28.7%","±0.9"
"    7 rooms","87,111","±4,356","13.0%","±0.6"
"    8 rooms","39,102","±3,035","5.8%","±0.5"
"    9 rooms or more","36,477","±2,630","5.4%","±0.4"
"    Median rooms","5.6","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","670,265","±1,466","670,265","(X)"
"    No bedroom","29,807","±3,551","4.4%","±0.5"
"    1 bedroom","112,674","±5,168","16.8%","±0.8"
"    2 bedrooms","139,746","±4,664","20.8%","±0.7"
"    3 bedrooms","310,150","±8,106","46.3%","±1.2"
"    4 bedrooms","57,190","±3,817","8.5%","±0.6"
"    5 or more bedrooms","20,698","±2,040","3.1%","±0.3"
"HOUSING TENURE","","","",""
"    Occupied housing units","576,429","±4,899","576,429","(X)"
"    Owner-occupied","311,303","±7,659","54.0%","±1.3"
"    Renter-occupied","265,126","±7,665","46.0%","±1.3"
"    Average household size of owner-occupied unit","2.75","±0.04","(X)","(X)"
"    Average household size of renter-occupied unit","2.37","±0.05","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","576,429","±4,899","576,429","(X)"
"    Moved in 2005 or later","274,603","±6,194","47.6%","±1.0"
"    Moved in 2000 to 2004","80,800","±4,420","14.0%","±0.8"
"    Moved in 1990 to 1999","84,419","±4,707","14.6%","±0.8"
"    Moved in 1980 to 1989","52,756","±3,218","9.2%","±0.5"
"    Moved in 1970 to 1979","40,060","±2,742","6.9%","±0.5"
"    Moved in 1969 or earlier","43,791","±2,744","7.6%","±0.5"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","576,429","±4,899","576,429","(X)"
"    No vehicles available","203,624","±6,062","35.3%","±1.1"
"    1 vehicle available","241,985","±6,703","42.0%","±1.1"
"    2 vehicles available","104,487","±4,899","18.1%","±0.8"
"    3 or more vehicles available","26,333","±2,303","4.6%","±0.4"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","576,429","±4,899","576,429","(X)"
"    Utility gas","445,935","±5,839","77.4%","±0.8"
"    Bottled, tank, or LP gas","4,863","±1,020","0.8%","±0.2"
"    Electricity","89,496","±4,359","15.5%","±0.7"
"    Fuel oil, kerosene, etc.","32,701","±3,000","5.7%","±0.5"
"    Coal or coke","78","±74","0.0%","±0.1"
"    Wood","284","±203","0.0%","±0.1"
"    Solar energy","0","±168","0.0%","±0.1"
"    Other fuel","490","±323","0.1%","±0.1"
"    No fuel used","2,582","±963","0.4%","±0.2"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","576,429","±4,899","576,429","(X)"
"    Lacking complete plumbing facilities","3,191","±967","0.6%","±0.2"
"    Lacking complete kitchen facilities","4,885","±1,046","0.8%","±0.2"
"    No telephone service available","23,910","±2,526","4.1%","±0.4"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","576,429","±4,899","576,429","(X)"
"    1.00 or less","560,282","±5,273","97.2%","±0.4"
"    1.01 to 1.50","9,394","±1,697","1.6%","±0.3"
"    1.51 or more","6,753","±1,627","1.2%","±0.3"
"VALUE","","","",""
"    Owner-occupied units","311,303","±7,659","311,303","(X)"
"    Less than $50,000","35,776","±3,077","11.5%","±0.9"
"    $50,000 to $99,999","70,139","±4,482","22.5%","±1.3"
"    $100,000 to $149,999","56,756","±3,703","18.2%","±1.2"
"    $150,000 to $199,999","57,388","±3,523","18.4%","±1.0"
"    $200,000 to $299,999","54,681","±3,651","17.6%","±1.0"
"    $300,000 to $499,999","24,681","±1,871","7.9%","±0.6"
"    $500,000 to $999,999","10,012","±1,595","3.2%","±0.5"
"    $1,000,000 or more","1,870","±581","0.6%","±0.2"
"    Median (dollars)","142,000","±4,279","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","311,303","±7,659","311,303","(X)"
"    Housing units with a mortgage","186,560","±6,190","59.9%","±1.2"
"    Housing units without a mortgage","124,743","±4,698","40.1%","±1.2"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","186,560","±6,190","186,560","(X)"
"    Less than $300","418","±269","0.2%","±0.1"
"    $300 to $499","6,255","±1,275","3.4%","±0.7"
"    $500 to $699","16,132","±2,173","8.6%","±1.1"
"    $700 to $999","39,706","±3,245","21.3%","±1.6"
"    $1,000 to $1,499","64,835","±3,749","34.8%","±1.9"
"    $1,500 to $1,999","34,329","±3,106","18.4%","±1.4"
"    $2,000 or more","24,885","±2,352","13.3%","±1.2"
"    Median (dollars)","1,216","±23","(X)","(X)"
"    Housing units without a mortgage","124,743","±4,698","124,743","(X)"
"    Less than $100","1,197","±574","1.0%","±0.5"
"    $100 to $199","8,754","±1,510","7.0%","±1.2"
"    $200 to $299","20,332","±1,841","16.3%","±1.4"
"    $300 to $399","28,709","±2,793","23.0%","±2.0"
"    $400 or more","65,751","±3,448","52.7%","±2.1"
"    Median (dollars)","414","±11","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","184,039","±6,400","184,039","(X)"
"    Less than 20.0 percent","60,250","±3,701","32.7%","±1.7"
"    20.0 to 24.9 percent","27,937","±2,607","15.2%","±1.3"
"    25.0 to 29.9 percent","18,512","±2,402","10.1%","±1.3"
"    30.0 to 34.9 percent","15,053","±2,163","8.2%","±1.1"
"    35.0 percent or more","62,287","±4,505","33.8%","±2.2"
"    Not computed","2,521","±975","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","121,537","±4,693","121,537","(X)"
"    Less than 10.0 percent","38,068","±2,908","31.3%","±2.1"
"    10.0 to 14.9 percent","20,970","±2,226","17.3%","±1.8"
"    15.0 to 19.9 percent","13,263","±1,759","10.9%","±1.4"
"    20.0 to 24.9 percent","11,996","±1,732","9.9%","±1.3"
"    25.0 to 29.9 percent","8,956","±1,464","7.4%","±1.2"
"    30.0 to 34.9 percent","6,552","±1,332","5.4%","±1.0"
"    35.0 percent or more","21,732","±2,671","17.9%","±2.0"
"    Not computed","3,206","±1,078","(X)","(X)"
