"Label (Grouping)","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","688,846","±1,794","688,846","(X)"
"        Occupied housing units","608,233","±5,554","88.3%","±0.7"
"        Vacant housing units","80,613","±5,150","11.7%","±0.7"
"        Homeowner vacancy rate","1.6","±0.4","(X)","(X)"
"        Rental vacancy rate","4.9","±0.7","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","688,846","±1,794","688,846","(X)"
"        1-unit, detached","54,231","±3,494","7.9%","±0.5"
"        1-unit, attached","406,521","±5,950","59.0%","±0.8"
"        2 units","54,559","±4,047","7.9%","±0.6"
"        3 or 4 units","43,168","±3,756","6.3%","±0.5"
"        5 to 9 units","26,565","±2,719","3.9%","±0.4"
"        10 to 19 units","15,259","±1,960","2.2%","±0.3"
"        20 or more units","87,855","±4,302","12.8%","±0.6"
"        Mobile home","529","±317","0.1%","±0.1"
"        Boat, RV, van, etc.","159","±263","0.0%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","688,846","±1,794","688,846","(X)"
"        Built 2014 or later","12,999","±1,595","1.9%","±0.2"
"        Built 2010 to 2013","8,045","±1,812","1.2%","±0.3"
"        Built 2000 to 2009","20,593","±2,298","3.0%","±0.3"
"        Built 1990 to 1999","20,462","±2,096","3.0%","±0.3"
"        Built 1980 to 1989","24,149","±2,703","3.5%","±0.4"
"        Built 1970 to 1979","46,350","±3,292","6.7%","±0.5"
"        Built 1960 to 1969","76,030","±3,964","11.0%","±0.6"
"        Built 1950 to 1959","106,863","±4,668","15.5%","±0.7"
"        Built 1940 to 1949","76,620","±4,620","11.1%","±0.7"
"        Built 1939 or earlier","296,735","±8,046","43.1%","±1.2"
"ROOMS","","","",""
"    Total housing units","688,846","±1,794","688,846","(X)"
"        1 room","28,807","±2,804","4.2%","±0.4"
"        2 rooms","26,793","±2,666","3.9%","±0.4"
"        3 rooms","78,644","±4,915","11.4%","±0.7"
"        4 rooms","97,811","±5,020","14.2%","±0.7"
"        5 rooms","99,685","±5,104","14.5%","±0.7"
"        6 rooms","181,543","±6,943","26.4%","±1.0"
"        7 rooms","94,426","±6,225","13.7%","±0.9"
"        8 rooms","39,092","±3,007","5.7%","±0.4"
"        9 rooms or more","42,045","±3,004","6.1%","±0.4"
"        Median rooms","5.6","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","688,846","±1,794","688,846","(X)"
"        No bedroom","31,270","±2,841","4.5%","±0.4"
"        1 bedroom","101,051","±4,928","14.7%","±0.7"
"        2 bedrooms","155,343","±6,271","22.6%","±0.9"
"        3 bedrooms","314,059","±7,176","45.6%","±1.0"
"        4 bedrooms","64,838","±3,920","9.4%","±0.6"
"        5 or more bedrooms","22,285","±2,493","3.2%","±0.4"
"HOUSING TENURE","","","",""
"    Occupied housing units","608,233","±5,554","608,233","(X)"
"        Owner-occupied","320,690","±6,308","52.7%","±0.9"
"        Renter-occupied","287,543","±6,327","47.3%","±0.9"
"        Average household size of owner-occupied unit","2.68","±0.04","(X)","(X)"
"        Average household size of renter-occupied unit","2.35","±0.05","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","608,233","±5,554","608,233","(X)"
"        Moved in 2017 or later","121,786","±5,867","20.0%","±0.9"
"        Moved in 2015 to 2016","98,863","±4,941","16.3%","±0.8"
"        Moved in 2010 to 2014","100,900","±5,185","16.6%","±0.9"
"        Moved in 2000 to 2009","122,677","±6,254","20.2%","±1.0"
"        Moved in 1990 to 1999","64,871","±3,984","10.7%","±0.7"
"        Moved in 1989 and earlier","99,136","±3,963","16.3%","±0.7"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","608,233","±5,554","608,233","(X)"
"        No vehicles available","186,252","±7,008","30.6%","±1.1"
"        1 vehicle available","267,963","±7,317","44.1%","±1.1"
"        2 vehicles available","118,385","±5,823","19.5%","±0.9"
"        3 or more vehicles available","35,633","±3,276","5.9%","±0.5"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","608,233","±5,554","608,233","(X)"
"        Utility gas","443,794","±7,349","73.0%","±1.0"
"        Bottled, tank, or LP gas","7,401","±1,304","1.2%","±0.2"
"        Electricity","128,776","±5,374","21.2%","±0.9"
"        Fuel oil, kerosene, etc.","21,240","±2,226","3.5%","±0.4"
"        Coal or coke","61","±96","0.0%","±0.1"
"        Wood","650","±350","0.1%","±0.1"
"        Solar energy","161","±161","0.0%","±0.1"
"        Other fuel","1,431","±499","0.2%","±0.1"
"        No fuel used","4,719","±1,138","0.8%","±0.2"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","608,233","±5,554","608,233","(X)"
"        Lacking complete plumbing facilities","2,547","±935","0.4%","±0.2"
"        Lacking complete kitchen facilities","5,255","±1,198","0.9%","±0.2"
"        No telephone service available","10,008","±1,700","1.6%","±0.3"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","608,233","±5,554","608,233","(X)"
"        1.00 or less","592,312","±5,941","97.4%","±0.4"
"        1.01 to 1.50","10,734","±2,350","1.8%","±0.4"
"        1.51 or more","5,187","±1,294","0.9%","±0.2"
"VALUE","","","",""
"    Owner-occupied units","320,690","±6,308","320,690","(X)"
"        Less than $50,000","18,337","±2,143","5.7%","±0.7"
"        $50,000 to $99,999","59,604","±3,765","18.6%","±1.1"
"        $100,000 to $149,999","60,820","±4,703","19.0%","±1.3"
"        $150,000 to $199,999","54,904","±3,666","17.1%","±1.1"
"        $200,000 to $299,999","66,151","±3,980","20.6%","±1.2"
"        $300,000 to $499,999","38,906","±3,027","12.1%","±0.9"
"        $500,000 to $999,999","17,576","±1,916","5.5%","±0.6"
"        $1,000,000 or more","4,392","±892","1.4%","±0.3"
"        Median (dollars)","167,700","±3,790","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","320,690","±6,308","320,690","(X)"
"        Housing units with a mortgage","191,147","±6,197","59.6%","±1.4"
"        Housing units without a mortgage","129,543","±4,639","40.4%","±1.4"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","191,147","±6,197","191,147","(X)"
"        Less than $500","3,523","±893","1.8%","±0.5"
"        $500 to $999","55,696","±4,443","29.1%","±2.2"
"        $1,000 to $1,499","65,359","±4,706","34.2%","±2.0"
"        $1,500 to $1,999","33,821","±3,229","17.7%","±1.6"
"        $2,000 to $2,499","15,642","±2,098","8.2%","±1.1"
"        $2,500 to $2,999","8,551","±1,476","4.5%","±0.8"
"        $3,000 or more","8,555","±1,265","4.5%","±0.7"
"        Median (dollars)","1,243","±29","(X)","(X)"
"    Housing units without a mortgage","129,543","±4,639","129,543","(X)"
"        Less than $250","13,932","±2,026","10.8%","±1.5"
"        $250 to $399","38,024","±3,399","29.4%","±2.4"
"        $400 to $599","44,690","±3,433","34.5%","±2.3"
"        $600 to $799","17,253","±2,004","13.3%","±1.5"
"        $800 to $999","7,249","±1,271","5.6%","±0.9"
"        $1,000 or more","8,395","±1,379","6.5%","±1.0"
"        Median (dollars)","448","±10","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","189,393","±6,273","189,393","(X)"
"        Less than 20.0 percent","83,056","±4,900","43.9%","±2.2"
"        20.0 to 24.9 percent","24,836","±2,418","13.1%","±1.2"
"        25.0 to 29.9 percent","20,568","±2,238","10.9%","±1.1"
"        30.0 to 34.9 percent","11,770","±2,032","6.2%","±1.1"
"        35.0 percent or more","49,163","±4,097","26.0%","±1.9"
"        Not computed","1,754","±728","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","126,645","±4,559","126,645","(X)"
"        Less than 10.0 percent","46,695","±3,474","36.9%","±2.2"
"        10.0 to 14.9 percent","21,675","±1,989","17.1%","±1.5"
"        15.0 to 19.9 percent","14,400","±1,892","11.4%","±1.5"
"        20.0 to 24.9 percent","9,665","±1,662","7.6%","±1.2"
"        25.0 to 29.9 percent","6,294","±989","5.0%","±0.7"
"        30.0 to 34.9 percent","6,095","±1,251","4.8%","±1.0"
"        35.0 percent or more","21,821","±2,495","17.2%","±1.8"
"        Not computed","2,898","±844","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","274,189","±6,732","274,189","(X)"
"        Less than $500","30,301","±2,882","11.1%","±1.0"
"        $500 to $999","99,559","±5,833","36.3%","±1.8"
"        $1,000 to $1,499","91,302","±5,265","33.3%","±1.7"
"        $1,500 to $1,999","34,320","±3,263","12.5%","±1.2"
"        $2,000 to $2,499","12,149","±1,655","4.4%","±0.6"
"        $2,500 to $2,999","3,887","±951","1.4%","±0.3"
"        $3,000 or more","2,671","±771","1.0%","±0.3"
"        Median (dollars)","1,032","±21","(X)","(X)"
"        No rent paid","13,354","±2,034","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","264,075","±6,868","264,075","(X)"
"        Less than 15.0 percent","32,390","±2,903","12.3%","±1.1"
"        15.0 to 19.9 percent","32,972","±3,311","12.5%","±1.2"
"        20.0 to 24.9 percent","29,250","±3,301","11.1%","±1.2"
"        25.0 to 29.9 percent","27,216","±3,158","10.3%","±1.1"
"        30.0 to 34.9 percent","24,298","±3,036","9.2%","±1.2"
"        35.0 percent or more","117,949","±6,366","44.7%","±2.0"
"        Not computed","23,468","±3,067","(X)","(X)"
