"Label (Grouping)","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","670,445","±1,724","670,445","(X)"
"        Occupied housing units","577,862","±5,809","86.2%","±0.8"
"        Vacant housing units","92,583","±5,248","13.8%","±0.8"
"    Homeowner vacancy rate","2.3","±0.5","(X)","(X)"
"    Rental vacancy rate","8.1","±1.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","670,445","±1,724","670,445","(X)"
"        1-unit, detached","54,838","±3,762","8.2%","±0.6"
"        1-unit, attached","394,562","±6,086","58.9%","±0.9"
"        2 units","59,535","±4,608","8.9%","±0.7"
"        3 or 4 units","44,219","±3,103","6.6%","±0.5"
"        5 to 9 units","21,501","±2,043","3.2%","±0.3"
"        10 to 19 units","13,561","±1,665","2.0%","±0.2"
"        20 or more units","80,860","±3,303","12.1%","±0.5"
"        Mobile home","1,058","±534","0.2%","±0.1"
"        Boat, RV, van, etc.","311","±393","0.0%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","670,445","±1,724","670,445","(X)"
"        Built 2010 or later","5,320","±1,108","0.8%","±0.2"
"        Built 2000 to 2009","20,493","±2,003","3.1%","±0.3"
"        Built 1990 to 1999","21,167","±2,334","3.2%","±0.3"
"        Built 1980 to 1989","27,163","±2,308","4.1%","±0.3"
"        Built 1970 to 1979","43,280","±3,170","6.5%","±0.5"
"        Built 1960 to 1969","73,769","±4,573","11.0%","±0.7"
"        Built 1950 to 1959","108,179","±4,661","16.1%","±0.7"
"        Built 1940 to 1949","96,848","±4,136","14.4%","±0.6"
"        Built 1939 or earlier","274,226","±5,677","40.9%","±0.8"
"ROOMS","","","",""
"    Total housing units","670,445","±1,724","670,445","(X)"
"        1 room","21,210","±2,599","3.2%","±0.4"
"        2 rooms","23,583","±2,306","3.5%","±0.3"
"        3 rooms","80,714","±3,829","12.0%","±0.6"
"        4 rooms","97,319","±4,785","14.5%","±0.7"
"        5 rooms","101,142","±4,311","15.1%","±0.6"
"        6 rooms","172,844","±5,907","25.8%","±0.9"
"        7 rooms","84,893","±4,302","12.7%","±0.6"
"        8 rooms","50,574","±3,255","7.5%","±0.5"
"        9 rooms or more","38,166","±2,666","5.7%","±0.4"
"        Median rooms","5.6","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","670,445","±1,724","670,445","(X)"
"        No bedroom","23,201","±2,607","3.5%","±0.4"
"        1 bedroom","107,781","±3,805","16.1%","±0.6"
"        2 bedrooms","154,466","±5,593","23.0%","±0.8"
"        3 bedrooms","308,181","±7,281","46.0%","±1.1"
"        4 bedrooms","56,236","±3,879","8.4%","±0.6"
