"Label (Grouping)","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","733,015","±2,013","733,015","(X)"
"        Occupied housing units","660,921","±5,390","90.2%","±0.7"
"        Vacant housing units","72,094","±5,189","9.8%","±0.7"
"        Homeowner vacancy rate","0.9","±0.3","(X)","(X)"
"        Rental vacancy rate","6.3","±0.9","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","733,015","±2,013","733,015","(X)"
"        1-unit, detached","72,869","±4,956","9.9%","±0.7"
"        1-unit, attached","409,781","±8,451","55.9%","±1.1"
"        2 units","54,560","±5,064","7.4%","±0.7"
"        3 or 4 units","49,152","±4,690","6.7%","±0.6"
"        5 to 9 units","20,654","±2,689","2.8%","±0.4"
"        10 to 19 units","18,448","±2,931","2.5%","±0.4"
"        20 or more units","104,788","±4,692","14.3%","±0.6"
"        Mobile home","2,367","±1,025","0.3%","±0.1"
"        Boat, RV, van, etc.","396","±485","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","733,015","±2,013","733,015","(X)"
"        Built 2020 or later","2,650","±942","0.4%","±0.1"
"        Built 2010 to 2019","33,724","±3,673","4.6%","±0.5"
"        Built 2000 to 2009","23,835","±3,159","3.3%","±0.4"
"        Built 1990 to 1999","19,654","±3,447","2.7%","±0.5"
"        Built 1980 to 1989","30,435","±3,348","4.2%","±0.5"
"        Built 1970 to 1979","53,154","±4,654","7.3%","±0.6"
"        Built 1960 to 1969","77,730","±4,795","10.6%","±0.7"
"        Built 1950 to 1959","111,490","±6,825","15.2%","±0.9"
"        Built 1940 to 1949","91,988","±5,152","12.5%","±0.7"
"        Built 1939 or earlier","288,355","±7,353","39.3%","±1.0"
"ROOMS","","","",""
"    Total housing units","733,015","±2,013","733,015","(X)"
"        1 room","34,383","±3,314","4.7%","±0.5"
"        2 rooms","35,567","±4,319","4.9%","±0.6"
"        3 rooms","85,663","±5,823","11.7%","±0.8"
"        4 rooms","105,932","±5,385","14.5%","±0.7"
"        5 rooms","100,299","±5,171","13.7%","±0.7"
"        6 rooms","182,329","±7,424","24.9%","±1.0"
"        7 rooms","90,639","±6,329","12.4%","±0.9"
"        8 rooms","50,575","±4,818","6.9%","±0.7"
"        9 rooms or more","47,628","±3,835","6.5%","±0.5"
"        Median rooms","5.5","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","733,015","±2,013","733,015","(X)"
"        No bedroom","40,045","±3,945","5.5%","±0.5"
"        1 bedroom","113,659","±6,225","15.5%","±0.9"
"        2 bedrooms","160,785","±7,053","21.9%","±1.0"
"        3 bedrooms","329,192","±8,454","44.9%","±1.2"
"        4 bedrooms","71,086","±5,058","9.7%","±0.7"
"        5 or more bedrooms","18,248","±2,589","2.5%","±0.4"
"HOUSING TENURE","","","",""
"    Occupied housing units","660,921","±5,390","660,921","(X)"
"        Owner-occupied","348,935","±7,172","52.8%","±1.1"
"        Renter-occupied","311,986","±8,016","47.2%","±1.1"
"        Average household size of owner-occupied unit","2.48","±0.04","(X)","(X)"
"        Average household size of renter-occupied unit","2.13","±0.05","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","660,921","±5,390","660,921","(X)"
"        Moved in 2019 or later","192,280","±8,629","29.1%","±1.2"
"        Moved in 2015 to 2018","145,780","±8,128","22.1%","±1.2"
"        Moved in 2010 to 2014","74,040","±4,674","11.2%","±0.7"
"        Moved in 2000 to 2009","100,283","±5,980","15.2%","±0.9"
"        Moved in 1990 to 1999","57,799","±5,027","8.7%","±0.8"
"        Moved in 1989 and earlier","90,739","±4,488","13.7%","±0.7"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","660,921","±5,390","660,921","(X)"
"        No vehicles available","184,616","±6,832","27.9%","±1.0"
"        1 vehicle available","287,859","±8,207","43.6%","±1.3"
"        2 vehicles available","146,661","±6,299","22.2%","±0.9"
"        3 or more vehicles available","41,785","±4,310","6.3%","±0.6"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","660,921","±5,390","660,921","(X)"
"        Utility gas","464,142","±7,921","70.2%","±1.2"
"        Bottled, tank, or LP gas","15,016","±2,189","2.3%","±0.3"
"        Electricity","148,580","±7,360","22.5%","±1.1"
"        Fuel oil, kerosene, etc.","21,178","±3,032","3.2%","±0.5"
"        Coal or coke","184","±256","0.0%","±0.1"
"        Wood","1,036","±661","0.2%","±0.1"
"        Solar energy","435","±306","0.1%","±0.1"
"        Other fuel","3,874","±1,197","0.6%","±0.2"
"        No fuel used","6,476","±1,972","1.0%","±0.3"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","660,921","±5,390","660,921","(X)"
"        Lacking complete plumbing facilities","3,929","±1,829","0.6%","±0.3"
"        Lacking complete kitchen facilities","5,869","±1,805","0.9%","±0.3"
"        No telephone service available","10,210","±2,453","1.5%","±0.4"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","660,921","±5,390","660,921","(X)"
"        1.00 or less","640,095","±6,595","96.8%","±0.6"
"        1.01 to 1.50","12,463","±2,635","1.9%","±0.4"
"        1.51 or more","8,363","±2,226","1.3%","±0.3"
"VALUE","","","",""
"    Owner-occupied units","348,935","±7,172","348,935","(X)"
"        Less than $50,000","18,064","±2,844","5.2%","±0.8"
"        $50,000 to $99,999","41,901","±3,899","12.0%","±1.1"
"        $100,000 to $149,999","44,292","±4,138","12.7%","±1.2"
"        $150,000 to $199,999","49,668","±4,414","14.2%","±1.2"
"        $200,000 to $299,999","93,573","±5,661","26.8%","±1.5"
"        $300,000 to $499,999","68,199","±3,892","19.5%","±1.1"
"        $500,000 to $999,999","26,633","±2,646","7.6%","±0.7"
"        $1,000,000 or more","6,605","±1,344","1.9%","±0.4"
"        Median (dollars)","220,700","±4,567","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","348,935","±7,172","348,935","(X)"
"        Housing units with a mortgage","202,880","±7,667","58.1%","±1.6"
"        Housing units without a mortgage","146,055","±5,667","41.9%","±1.6"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","202,880","±7,667","202,880","(X)"
"        Less than $500","3,624","±1,277","1.8%","±0.6"
"        $500 to $999","43,299","±3,291","21.3%","±1.5"
"        $1,000 to $1,499","68,098","±5,142","33.6%","±1.9"
"        $1,500 to $1,999","44,094","±3,206","21.7%","±1.6"
"        $2,000 to $2,499","20,978","±2,553","10.3%","±1.2"
"        $2,500 to $2,999","9,626","±1,508","4.7%","±0.8"
"        $3,000 or more","13,161","±2,055","6.5%","±0.9"
"        Median (dollars)","1,396","±28","(X)","(X)"
"    Housing units without a mortgage","146,055","±5,667","146,055","(X)"
"        Less than $250","17,148","±2,509","11.7%","±1.7"
"        $250 to $399","37,156","±3,565","25.4%","±2.2"
"        $400 to $599","50,328","±3,876","34.5%","±2.3"
"        $600 to $799","21,444","±2,811","14.7%","±1.9"
"        $800 to $999","8,927","±1,906","6.1%","±1.2"
"        $1,000 or more","11,052","±1,933","7.6%","±1.3"
"        Median (dollars)","461","±11","(X)","(X)"
