"Label (Grouping)","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","685,988","±1,730","685,988","(X)"
"        Occupied housing units","606,142","±4,673","88.4%","±0.6"
"        Vacant housing units","79,846","±4,289","11.6%","±0.6"
"    Homeowner vacancy rate","1.7","±0.4","(X)","(X)"
"    Rental vacancy rate","6.3","±0.7","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","685,988","±1,730","685,988","(X)"
"        1-unit, detached","52,927","±4,106","7.7%","±0.6"
"        1-unit, attached","404,826","±6,387","59.0%","±0.9"
"        2 units","51,286","±3,611","7.5%","±0.5"
"        3 or 4 units","42,885","±3,597","6.3%","±0.5"
"        5 to 9 units","27,412","±2,674","4.0%","±0.4"
"        10 to 19 units","16,379","±2,358","2.4%","±0.3"
"        20 or more units","87,394","±3,482","12.7%","±0.5"
"        Mobile home","2,541","±923","0.4%","±0.1"
"        Boat, RV, van, etc.","338","±332","0.0%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","685,988","±1,730","685,988","(X)"
"        Built 2014 or later","8,099","±1,234","1.2%","±0.2"
"        Built 2010 to 2013","7,836","±1,428","1.1%","±0.2"
"        Built 2000 to 2009","18,849","±2,396","2.7%","±0.4"
"        Built 1990 to 1999","21,152","±2,858","3.1%","±0.4"
"        Built 1980 to 1989","24,254","±2,739","3.5%","±0.4"
"        Built 1970 to 1979","44,242","±2,919","6.4%","±0.4"
"        Built 1960 to 1969","69,041","±4,528","10.1%","±0.7"
"        Built 1950 to 1959","107,712","±5,545","15.7%","±0.8"
"        Built 1940 to 1949","87,659","±4,419","12.8%","±0.6"
"        Built 1939 or earlier","297,144","±6,909","43.3%","±1.0"
"ROOMS","","","",""
"    Total housing units","685,988","±1,730","685,988","(X)"
"        1 room","36,773","±3,390","5.4%","±0.5"
"        2 rooms","28,478","±2,876","4.2%","±0.4"
"        3 rooms","76,054","±4,803","11.1%","±0.7"
"        4 rooms","90,452","±5,114","13.2%","±0.7"
"        5 rooms","87,652","±5,381","12.8%","±0.8"
"        6 rooms","202,679","±6,816","29.5%","±1.0"
"        7 rooms","87,765","±4,821","12.8%","±0.7"
"        8 rooms","39,413","±3,218","5.7%","±0.5"
"        9 rooms or more","36,722","±3,114","5.4%","±0.5"
"        Median rooms","5.6","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","685,988","±1,730","685,988","(X)"
"        No bedroom","39,913","±3,433","5.8%","±0.5"
"        1 bedroom","103,630","±5,497","15.1%","±0.8"
"        2 bedrooms","139,576","±6,049","20.3%","±0.9"
"        3 bedrooms","322,454","±7,211","47.0%","±1.0"
"        4 bedrooms","60,017","±4,520","8.7%","±0.7"
"        5 or more bedrooms","20,398","±1,901","3.0%","±0.3"
"HOUSING TENURE","","","",""
"    Occupied housing units","606,142","±4,673","606,142","(X)"
"        Owner-occupied","296,863","±6,050","49.0%","±1.0"
"        Renter-occupied","309,279","±6,790","51.0%","±1.0"
"    Average household size of owner-occupied unit","2.79","±0.05","(X)","(X)"
"    Average household size of renter-occupied unit","2.28","±0.06","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","606,142","±4,673","606,142","(X)"
"        Moved in 2015 or later","172,393","±6,247","28.4%","±1.0"
