"Label (Grouping)","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","668,247","±1,811","668,247","(X)"
"    Occupied housing units","579,874","±5,204","86.8%","±0.8"
"    Vacant housing units","88,373","±5,085","13.2%","±0.8"
"    Homeowner vacancy rate","2.8","±0.5","(X)","(X)"
"    Rental vacancy rate","7.9","±0.8","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","668,247","±1,811","668,247","(X)"
"    1-unit, detached","54,810","±3,432","8.2%","±0.5"
"    1-unit, attached","384,861","±6,011","57.6%","±0.9"
"    2 units","61,988","±4,290","9.3%","±0.6"
"    3 or 4 units","42,170","±3,473","6.3%","±0.5"
"    5 to 9 units","26,344","±2,504","3.9%","±0.4"
"    10 to 19 units","14,385","±1,832","2.2%","±0.3"
"    20 or more units","82,416","±3,795","12.3%","±0.6"
"    Mobile home","1,024","±474","0.2%","±0.1"
"    Boat, RV, van, etc.","249","±269","0.0%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","668,247","±1,811","668,247","(X)"
"    Built 2010 or later","2,548","±725","0.4%","±0.1"
"    Built 2000 to 2009","24,346","±2,701","3.6%","±0.4"
"    Built 1990 to 1999","17,521","±1,819","2.6%","±0.3"
"    Built 1980 to 1989","29,318","±2,767","4.4%","±0.4"
"    Built 1970 to 1979","45,637","±3,658","6.8%","±0.5"
"    Built 1960 to 1969","72,797","±4,316","10.9%","±0.6"
"    Built 1950 to 1959","107,614","±3,715","16.1%","±0.6"
"    Built 1940 to 1949","100,130","±4,967","15.0%","±0.7"
"    Built 1939 or earlier","268,336","±6,892","40.2%","±1.0"
"ROOMS","","","",""
"    Total housing units","668,247","±1,811","668,247","(X)"
"    1 room","23,228","±2,529","3.5%","±0.4"
"    2 rooms","23,466","±1,937","3.5%","±0.3"
"    3 rooms","87,958","±4,736","13.2%","±0.7"
"    4 rooms","95,945","±4,716","14.4%","±0.7"
"    5 rooms","93,605","±4,018","14.0%","±0.6"
"    6 rooms","168,888","±6,082","25.3%","±0.9"
"    7 rooms","98,807","±4,298","14.8%","±0.6"
"    8 rooms","39,578","±2,745","5.9%","±0.4"
"    9 rooms or more","36,772","±2,272","5.5%","±0.3"
"    Median rooms","5.6","±0.2","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","668,247","±1,811","668,247","(X)"
"    No bedroom","25,607","±2,538","3.8%","±0.4"
"    1 bedroom","114,316","±4,879","17.1%","±0.7"
"    2 bedrooms","149,045","±5,578","22.3%","±0.8"
"    3 bedrooms","301,855","±6,625","45.2%","±1.0"
"    4 bedrooms","56,246","±3,429","8.4%","±0.5"
"    5 or more bedrooms","21,178","±2,138","3.2%","±0.3"
"HOUSING TENURE","","","",""
"    Occupied housing units","579,874","±5,204","579,874","(X)"
"    Owner-occupied","302,551","±6,569","52.2%","±1.0"
"    Renter-occupied","277,323","±6,610","47.8%","±1.0"
"    Average household size of owner-occupied unit","2.73","±0.04","(X)","(X)"
"    Average household size of renter-occupied unit","2.42","±0.04","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","579,874","±5,204","579,874","(X)"
"    Moved in 2010 or later","160,856","±5,749","27.7%","±0.9"
"    Moved in 2000 to 2009","209,924","±6,078","36.2%","±1.0"
"    Moved in 1990 to 1999","80,570","±4,195","13.9%","±0.7"
"    Moved in 1980 to 1989","46,911","±2,946","8.1%","±0.5"
"    Moved in 1970 to 1979","36,457","±3,122","6.3%","±0.5"
"    Moved in 1969 or earlier","45,156","±2,487","7.8%","±0.4"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","579,874","±5,204","579,874","(X)"
"    No vehicles available","189,057","±5,971","32.6%","±1.0"
"    1 vehicle available","251,433","±6,047","43.4%","±1.0"
"    2 vehicles available","111,581","±5,139","19.2%","±0.8"
"    3 or more vehicles available","27,803","±2,426","4.8%","±0.4"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","579,874","±5,204","579,874","(X)"
"    Utility gas","451,733","±6,232","77.9%","±0.9"
"    Bottled, tank, or LP gas","4,419","±842","0.8%","±0.1"
"    Electricity","89,281","±5,181","15.4%","±0.9"
"    Fuel oil, kerosene, etc.","30,794","±2,401","5.3%","±0.4"
"    Coal or coke","48","±81","0.0%","±0.1"
"    Wood","447","±259","0.1%","±0.1"
"    Solar energy","68","±82","0.0%","±0.1"
"    Other fuel","1,155","±545","0.2%","±0.1"
"    No fuel used","1,929","±615","0.3%","±0.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","579,874","±5,204","579,874","(X)"
"    Lacking complete plumbing facilities","2,002","±777","0.3%","±0.1"
"    Lacking complete kitchen facilities","4,327","±1,177","0.7%","±0.2"
"    No telephone service available","17,499","±1,868","3.0%","±0.3"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","579,874","±5,204","579,874","(X)"
"    1.00 or less","564,122","±5,277","97.3%","±0.4"
"    1.01 to 1.50","10,326","±1,560","1.8%","±0.3"
"    1.51 or more","5,426","±1,400","0.9%","±0.2"
"VALUE","","","",""
"    Owner-occupied units","302,551","±6,569","302,551","(X)"
"    Less than $50,000","33,648","±2,805","11.1%","±0.8"
"    $50,000 to $99,999","68,930","±3,581","22.8%","±1.1"
"    $100,000 to $149,999","55,015","±3,968","18.2%","±1.1"
"    $150,000 to $199,999","53,382","±3,151","17.6%","±1.1"
"    $200,000 to $299,999","53,964","±3,103","17.8%","±1.0"
"    $300,000 to $499,999","25,549","±2,270","8.4%","±0.7"
"    $500,000 to $999,999","9,033","±1,110","3.0%","±0.3"
"    $1,000,000 or more","3,030","±760","1.0%","±0.3"
"    Median (dollars)","142,300","±5,229","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","302,551","±6,569","302,551","(X)"
"    Housing units with a mortgage","178,673","±5,580","59.1%","±1.3"
"    Housing units without a mortgage","123,878","±4,580","40.9%","±1.3"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","178,673","±5,580","178,673","(X)"
"    Less than $300","431","±243","0.2%","±0.1"
"    $300 to $499","4,851","±919","2.7%","±0.5"
"    $500 to $699","15,451","±1,707","8.6%","±0.9"
"    $700 to $999","40,647","±2,674","22.7%","±1.4"
"    $1,000 to $1,499","60,303","±4,035","33.8%","±1.9"
"    $1,500 to $1,999","31,430","±2,453","17.6%","±1.3"
"    $2,000 or more","25,560","±1,872","14.3%","±1.0"
"    Median (dollars)","1,207","±21","(X)","(X)"
"    Housing units without a mortgage","123,878","±4,580","123,878","(X)"
"    Less than $100","956","±433","0.8%","±0.3"
"    $100 to $199","7,144","±970","5.8%","±0.8"
"    $200 to $299","21,373","±2,087","17.3%","±1.5"
"    $300 to $399","26,777","±2,411","21.6%","±1.8"
"    $400 or more","67,628","±3,645","54.6%","±2.0"
"    Median (dollars)","421","±8","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","176,743","±5,466","176,743","(X)"
"    Less than 20.0 percent","62,661","±3,714","35.5%","±1.8"
"    20.0 to 24.9 percent","27,348","±2,099","15.5%","±1.2"
"    25.0 to 29.9 percent","19,296","±2,168","10.9%","±1.2"
"    30.0 to 34.9 percent","13,506","±1,660","7.6%","±0.9"
"    35.0 percent or more","53,932","±3,219","30.5%","±1.5"
"    Not computed","1,930","±766","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","121,944","±4,652","121,944","(X)"
"    Less than 10.0 percent","37,772","±2,580","31.0%","±1.7"
"    10.0 to 14.9 percent","20,895","±2,012","17.1%","±1.6"
"    15.0 to 19.9 percent","16,786","±1,919","13.8%","±1.4"
"    20.0 to 24.9 percent","12,357","±1,481","10.1%","±1.1"
"    25.0 to 29.9 percent","8,539","±1,308","7.0%","±1.1"
"    30.0 to 34.9 percent","5,225","±1,136","4.3%","±0.9"
