"Label (Grouping)","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","691,653","±1,639","691,653","(X)"
"        Occupied housing units","619,505","±4,709","89.6%","±0.6"
"        Vacant housing units","72,148","±4,430","10.4%","±0.6"
"        Homeowner vacancy rate","1.1","±0.4","(X)","(X)"
"        Rental vacancy rate","4.6","±0.8","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","691,653","±1,639","691,653","(X)"
"        1-unit, detached","54,388","±3,173","7.9%","±0.5"
"        1-unit, attached","398,068","±6,987","57.6%","±1.0"
"        2 units","50,794","±3,847","7.3%","±0.6"
"        3 or 4 units","42,057","±3,933","6.1%","±0.6"
"        5 to 9 units","27,425","±3,793","4.0%","±0.5"
"        10 to 19 units","19,561","±2,826","2.8%","±0.4"
"        20 or more units","97,305","±5,290","14.1%","±0.8"
"        Mobile home","1,858","±1,125","0.3%","±0.2"
"        Boat, RV, van, etc.","197","±166","0.0%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","691,653","±1,639","691,653","(X)"
"        Built 2014 or later","17,750","±2,151","2.6%","±0.3"
"        Built 2010 to 2013","9,807","±1,715","1.4%","±0.2"
"        Built 2000 to 2009","18,842","±2,194","2.7%","±0.3"
"        Built 1990 to 1999","20,197","±2,598","2.9%","±0.4"
"        Built 1980 to 1989","27,065","±2,896","3.9%","±0.4"
"        Built 1970 to 1979","55,475","±3,880","8.0%","±0.6"
"        Built 1960 to 1969","74,319","±4,877","10.7%","±0.7"
"        Built 1950 to 1959","111,018","±4,524","16.1%","±0.7"
"        Built 1940 to 1949","72,177","±4,982","10.4%","±0.7"
"        Built 1939 or earlier","285,003","±7,140","41.2%","±1.0"
"ROOMS","","","",""
"    Total housing units","691,653","±1,639","691,653","(X)"
"        1 room","27,323","±3,670","4.0%","±0.5"
"        2 rooms","34,493","±3,107","5.0%","±0.5"
"        3 rooms","88,152","±5,088","12.7%","±0.7"
"        4 rooms","91,754","±5,535","13.3%","±0.8"
"        5 rooms","98,750","±6,359","14.3%","±0.9"
"        6 rooms","177,463","±7,102","25.7%","±1.0"
"        7 rooms","89,717","±5,296","13.0%","±0.8"
"        8 rooms","40,474","±3,257","5.9%","±0.5"
"        9 rooms or more","43,527","±3,121","6.3%","±0.5"
"        Median rooms","5.5","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","691,653","±1,639","691,653","(X)"
"        No bedroom","29,782","±3,797","4.3%","±0.5"
"        1 bedroom","114,147","±5,614","16.5%","±0.8"
"        2 bedrooms","148,604","±6,473","21.5%","±0.9"
"        3 bedrooms","318,437","±7,759","46.0%","±1.1"
"        4 bedrooms","59,440","±3,685","8.6%","±0.5"
"        5 or more bedrooms","21,243","±3,003","3.1%","±0.4"
"HOUSING TENURE","","","",""
"    Occupied housing units","619,505","±4,709","619,505","(X)"
"        Owner-occupied","323,722","±6,792","52.3%","±1.1"
"        Renter-occupied","295,783","±7,361","47.7%","±1.1"
"        Average household size of owner-occupied unit","2.60","±0.04","(X)","(X)"
"        Average household size of renter-occupied unit","2.35","±0.05","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","619,505","±4,709","619,505","(X)"
"        Moved in 2017 or later","196,413","±7,337","31.7%","±1.1"
"        Moved in 2015 to 2016","74,803","±4,959","12.1%","±0.8"
"        Moved in 2010 to 2014","83,150","±5,670","13.4%","±0.9"
"        Moved in 2000 to 2009","110,112","±5,641","17.8%","±0.9"
"        Moved in 1990 to 1999","57,654","±4,509","9.3%","±0.7"
"        Moved in 1989 and earlier","97,373","±4,974","15.7%","±0.8"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","619,505","±4,709","619,505","(X)"
"        No vehicles available","182,153","±6,059","29.4%","±0.9"
"        1 vehicle available","274,782","±7,100","44.4%","±1.2"
"        2 vehicles available","127,564","±5,783","20.6%","±0.9"
