"Label (Grouping)","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","667,625","±1,712","667,625","(X)"
"        Occupied housing units","582,528","±4,670","87.3%","±0.7"
"        Vacant housing units","85,097","±4,610","12.7%","±0.7"
"    Homeowner vacancy rate","2.3","±0.5","(X)","(X)"
"    Rental vacancy rate","6.5","±0.8","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","667,625","±1,712","667,625","(X)"
"        1-unit, detached","51,223","±3,352","7.7%","±0.5"
"        1-unit, attached","388,056","±6,980","58.1%","±1.0"
"        2 units","58,333","±4,635","8.7%","±0.7"
"        3 or 4 units","46,441","±3,565","7.0%","±0.5"
"        5 to 9 units","26,963","±2,589","4.0%","±0.4"
"        10 to 19 units","15,777","±1,844","2.4%","±0.3"
"        20 or more units","78,224","±3,931","11.7%","±0.6"
"        Mobile home","2,533","±852","0.4%","±0.1"
"        Boat, RV, van, etc.","75","±127","0.0%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","667,625","±1,712","667,625","(X)"
"        Built 2010 or later","3,605","±840","0.5%","±0.1"
"        Built 2000 to 2009","23,973","±2,388","3.6%","±0.4"
"        Built 1990 to 1999","19,539","±2,218","2.9%","±0.3"
"        Built 1980 to 1989","28,563","±2,860","4.3%","±0.4"
"        Built 1970 to 1979","42,899","±3,334","6.4%","±0.5"
"        Built 1960 to 1969","75,692","±4,245","11.3%","±0.6"
"        Built 1950 to 1959","110,400","±5,537","16.5%","±0.8"
"        Built 1940 to 1949","113,212","±5,862","17.0%","±0.9"
"        Built 1939 or earlier","249,742","±6,985","37.4%","±1.1"
"ROOMS","","","",""
"    Total housing units","667,625","±1,712","667,625","(X)"
"        1 room","21,653","±2,699","3.2%","±0.4"
"        2 rooms","23,362","±2,658","3.5%","±0.4"
"        3 rooms","82,718","±4,078","12.4%","±0.6"
