Label (Grouping),Occupied housing units,Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),Occupied housing units!!MONTHLY HOUSING COSTS,Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars)
ZCTA5 19102,,,,,
    Occupied housing units,,,,,
        Estimate,"3,425",,"115,597",,"2,172"
    Percent occupied housing units,,,,,
        Estimate,"3,425",,"115,597",,"2,172"
    Owner-occupied housing units,,,,,
        Estimate,885,,"174,453",,"2,102"
    Percent owner-occupied housing units,,,,,
        Estimate,885,,"174,453",,"2,102"
    Renter-occupied housing units,,,,,
        Estimate,"2,540",,"101,288",,"2,179"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,540",,"101,288",,"2,179"
ZCTA5 19103,,,,,
    Occupied housing units,,,,,
        Estimate,"16,337",,"83,988",,"1,847"
    Percent occupied housing units,,,,,
        Estimate,"16,337",,"83,988",,"1,847"
    Owner-occupied housing units,,,,,
        Estimate,"4,960",,"124,907",,"1,948"
    Percent owner-occupied housing units,,,,,
        Estimate,"4,960",,"124,907",,"1,948"
    Renter-occupied housing units,,,,,
        Estimate,"11,377",,"77,647",,"1,836"
    Percent renter-occupied housing units,,,,,
        Estimate,"11,377",,"77,647",,"1,836"
ZCTA5 19104,,,,,
    Occupied housing units,,,,,
        Estimate,"18,053",,"30,734",,"1,060"
    Percent occupied housing units,,,,,
        Estimate,"18,053",,"30,734",,"1,060"
    Owner-occupied housing units,,,,,
        Estimate,"3,629",,"58,945",,817
    Percent owner-occupied housing units,,,,,
        Estimate,"3,629",,"58,945",,817
    Renter-occupied housing units,,,,,
        Estimate,"14,424",,"26,959",,"1,092"
    Percent renter-occupied housing units,,,,,
        Estimate,"14,424",,"26,959",,"1,092"
ZCTA5 19106,,,,,
    Occupied housing units,,,,,
        Estimate,"8,155",,"126,287",,"2,040"
    Percent occupied housing units,,,,,
        Estimate,"8,155",,"126,287",,"2,040"
    Owner-occupied housing units,,,,,
        Estimate,"3,911",,"190,972",,"2,335"
    Percent owner-occupied housing units,,,,,
        Estimate,"3,911",,"190,972",,"2,335"
    Renter-occupied housing units,,,,,
        Estimate,"4,244",,"102,904",,"1,930"
    Percent renter-occupied housing units,,,,,
        Estimate,"4,244",,"102,904",,"1,930"
ZCTA5 19107,,,,,
    Occupied housing units,,,,,
        Estimate,"8,459",,"62,280",,"1,471"
    Percent occupied housing units,,,,,
        Estimate,"8,459",,"62,280",,"1,471"
    Owner-occupied housing units,,,,,
        Estimate,"1,541",,"96,725",,"1,774"
    Percent owner-occupied housing units,,,,,
        Estimate,"1,541",,"96,725",,"1,774"
    Renter-occupied housing units,,,,,
        Estimate,"6,918",,"53,938",,"1,429"
    Percent renter-occupied housing units,,,,,
        Estimate,"6,918",,"53,938",,"1,429"
ZCTA5 19111,,,,,
    Occupied housing units,,,,,
        Estimate,"25,828",,"55,569",,"1,115"
    Percent occupied housing units,,,,,
        Estimate,"25,828",,"55,569",,"1,115"
    Owner-occupied housing units,,,,,
        Estimate,"14,305",,"72,754",,"1,093"
    Percent owner-occupied housing units,,,,,
        Estimate,"14,305",,"72,754",,"1,093"
    Renter-occupied housing units,,,,,
        Estimate,"11,523",,"39,880",,"1,126"
    Percent renter-occupied housing units,,,,,
        Estimate,"11,523",,"39,880",,"1,126"
ZCTA5 19112,,,,,
    Occupied housing units,,,,,
        Estimate,0,,-,,-
    Percent occupied housing units,,,,,
        Estimate,0,,-,,-
    Owner-occupied housing units,,,,,
        Estimate,0,,-,,-
    Percent owner-occupied housing units,,,,,
        Estimate,0,,-,,-
    Renter-occupied housing units,,,,,
        Estimate,0,,-,,-
    Percent renter-occupied housing units,,,,,
        Estimate,0,,-,,-
ZCTA5 19114,,,,,
    Occupied housing units,,,,,
        Estimate,"13,553",,"70,838",,"1,212"
    Percent occupied housing units,,,,,
        Estimate,"13,553",,"70,838",,"1,212"
    Owner-occupied housing units,,,,,
        Estimate,"9,062",,"88,344",,"1,186"
    Percent owner-occupied housing units,,,,,
        Estimate,"9,062",,"88,344",,"1,186"
    Renter-occupied housing units,,,,,
        Estimate,"4,491",,"42,422",,"1,225"
    Percent renter-occupied housing units,,,,,
        Estimate,"4,491",,"42,422",,"1,225"
ZCTA5 19115,,,,,
    Occupied housing units,,,,,
        Estimate,"14,642",,"62,044",,"1,105"
    Percent occupied housing units,,,,,
        Estimate,"14,642",,"62,044",,"1,105"
    Owner-occupied housing units,,,,,
        Estimate,"8,986",,"91,317",,"1,121"
    Percent owner-occupied housing units,,,,,
        Estimate,"8,986",,"91,317",,"1,121"
    Renter-occupied housing units,,,,,
        Estimate,"5,656",,"40,165",,"1,100"
    Percent renter-occupied housing units,,,,,
        Estimate,"5,656",,"40,165",,"1,100"
ZCTA5 19116,,,,,
    Occupied housing units,,,,,
        Estimate,"13,402",,"59,390",,"1,131"
    Percent occupied housing units,,,,,
        Estimate,"13,402",,"59,390",,"1,131"
    Owner-occupied housing units,,,,,
        Estimate,"7,663",,"88,144",,"1,283"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,663",,"88,144",,"1,283"
    Renter-occupied housing units,,,,,
        Estimate,"5,739",,"37,833",,"1,087"
    Percent renter-occupied housing units,,,,,
        Estimate,"5,739",,"37,833",,"1,087"
ZCTA5 19118,,,,,
    Occupied housing units,,,,,
        Estimate,"4,875",,"86,475",,"1,648"
    Percent occupied housing units,,,,,
        Estimate,"4,875",,"86,475",,"1,648"
    Owner-occupied housing units,,,,,
        Estimate,"2,356",,"147,237",,"1,975"
    Percent owner-occupied housing units,,,,,
        Estimate,"2,356",,"147,237",,"1,975"
    Renter-occupied housing units,,,,,
        Estimate,"2,519",,"55,372",,"1,635"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,519",,"55,372",,"1,635"
ZCTA5 19119,,,,,
    Occupied housing units,,,,,
        Estimate,"12,564",,"72,685",,"1,204"
    Percent occupied housing units,,,,,
        Estimate,"12,564",,"72,685",,"1,204"
    Owner-occupied housing units,,,,,
        Estimate,"8,076",,"91,649",,"1,357"
    Percent owner-occupied housing units,,,,,
        Estimate,"8,076",,"91,649",,"1,357"
    Renter-occupied housing units,,,,,
        Estimate,"4,488",,"42,964",,"1,103"
    Percent renter-occupied housing units,,,,,
        Estimate,"4,488",,"42,964",,"1,103"
ZCTA5 19120,,,,,
    Occupied housing units,,,,,
        Estimate,"24,592",,"44,195",,945
    Percent occupied housing units,,,,,
        Estimate,"24,592",,"44,195",,945
    Owner-occupied housing units,,,,,
        Estimate,"15,519",,"53,395",,863
    Percent owner-occupied housing units,,,,,
