Label (Grouping),SEX AND AGE!!Total population,RACE,RACE!!One race!!White,RACE!!One race!!Black or African American,RACE!!One race!!American Indian and Alaska Native,RACE!!One race!!Asian,RACE!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!One race!!Some other race,RACE!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total housing units
ZCTA5 19102,,,,,,,,,,,
    Estimate,"4,867",,"3,801",212,13,737,0,31,73,377,"3,366"
    Percent,"4,867",,78.10%,4.40%,0.30%,15.10%,0.00%,0.60%,1.50%,7.70%,(X)
ZCTA5 19103,,,,,,,,,,,
    Estimate,"22,911",,"18,135","1,349",84,"2,679",31,133,500,"1,201","16,392"
    Percent,"22,911",,79.20%,5.90%,0.40%,11.70%,0.10%,0.60%,2.20%,5.20%,(X)
ZCTA5 19104,,,,,,,,,,,
    Estimate,"54,890",,"20,904","22,929",120,"7,889",147,703,"2,198","2,444","18,821"
    Percent,"54,890",,38.10%,41.80%,0.20%,14.40%,0.30%,1.30%,4.00%,4.50%,(X)
ZCTA5 19106,,,,,,,,,,,
    Estimate,"12,095",,"9,713","1,263",24,794,0,64,237,650,"6,996"
    Percent,"12,095",,80.30%,10.40%,0.20%,6.60%,0.00%,0.50%,2.00%,5.40%,(X)
ZCTA5 19107,,,,,,,,,,,
    Estimate,"13,464",,"8,373","1,211",62,"3,224",0,171,423,591,"7,882"
    Percent,"13,464",,62.20%,9.00%,0.50%,23.90%,0.00%,1.30%,3.10%,4.40%,(X)
ZCTA5 19111,,,,,,,,,,,
    Estimate,"69,917",,"37,839","16,365",149,"6,166",0,"6,571","2,827","13,198","26,151"
    Percent,"69,917",,54.10%,23.40%,0.20%,8.80%,0.00%,9.40%,4.00%,18.90%,(X)
ZCTA5 19112,,,,,,,,,,,
    Estimate,0,,0,0,0,0,0,0,0,0,0
    Percent,0,,-,-,-,-,-,-,-,-,(X)
ZCTA5 19114,,,,,,,,,,,
    Estimate,"30,639",,"25,251","3,160",44,"1,272",0,690,222,"2,258","13,701"
    Percent,"30,639",,82.40%,10.30%,0.10%,4.20%,0.00%,2.30%,0.70%,7.40%,(X)
ZCTA5 19115,,,,,,,,,,,
    Estimate,"32,583",,"24,149","2,576",147,"4,457",48,835,371,"2,394","14,302"
    Percent,"32,583",,74.10%,7.90%,0.50%,13.70%,0.10%,2.60%,1.10%,7.30%,(X)
ZCTA5 19116,,,,,,,,,,,
    Estimate,"33,212",,"24,811","2,523",99,"4,427",0,527,825,"1,153","13,315"
    Percent,"33,212",,74.70%,7.60%,0.30%,13.30%,0.00%,1.60%,2.50%,3.50%,(X)
ZCTA5 19118,,,,,,,,,,,
    Estimate,"10,539",,"7,570","1,689",16,612,0,354,298,727,"4,609"
    Percent,"10,539",,71.80%,16.00%,0.20%,5.80%,0.00%,3.40%,2.80%,6.90%,(X)
ZCTA5 19119,,,,,,,,,,,
    Estimate,"28,605",,"8,927","17,444",80,488,0,275,"1,391",838,"13,056"
    Percent,"28,605",,31.20%,61.00%,0.30%,1.70%,0.00%,1.00%,4.90%,2.90%,(X)
ZCTA5 19120,,,,,,,,,,,
    Estimate,"76,459",,"11,461","39,208",773,"10,174",503,"11,884","2,456","22,746","25,099"
    Percent,"76,459",,15.00%,51.30%,1.00%,13.30%,0.70%,15.50%,3.20%,29.70%,(X)
ZCTA5 19121,,,,,,,,,,,
    Estimate,"32,651",,"4,694","25,405",236,993,82,524,717,"1,482","16,474"
    Percent,"32,651",,14.40%,77.80%,0.70%,3.00%,0.30%,1.60%,2.20%,4.50%,(X)
ZCTA5 19122,,,,,,,,,,,
    Estimate,"22,076",,"8,595","7,973",67,"1,363",39,"3,015","1,024","6,278","7,270"
    Percent,"22,076",,38.90%,36.10%,0.30%,6.20%,0.20%,13.70%,4.60%,28.40%,(X)
ZCTA5 19123,,,,,,,,,,,
    Estimate,"14,824",,"7,372","5,340",50,"1,013",0,284,765,"1,449","7,682"
    Percent,"14,824",,49.70%,36.00%,0.30%,6.80%,0.00%,1.90%,5.20%,9.80%,(X)
ZCTA5 19124,,,,,,,,,,,
    Estimate,"69,125",,"22,464","28,699",411,"3,520",199,"11,284","2,548","26,361","25,684"
    Percent,"69,125",,32.50%,41.50%,0.60%,5.10%,0.30%,16.30%,3.70%,38.10%,(X)
ZCTA5 19125,,,,,,,,,,,
    Estimate,"24,504",,"19,413","1,057",81,"1,739",0,"1,570",644,"3,315","10,807"
    Percent,"24,504",,79.20%,4.30%,0.30%,7.10%,0.00%,6.40%,2.60%,13.50%,(X)
ZCTA5 19126,,,,,,,,,,,
    Estimate,"15,339",,"1,109","12,660",0,818,7,164,581,450,"6,401"
    Percent,"15,339",,7.20%,82.50%,0.00%,5.30%,0.00%,1.10%,3.80%,2.90%,(X)
ZCTA5 19127,,,,,,,,,,,
    Estimate,"6,263",,"5,288",724,11,72,0,59,109,311,"2,848"
    Percent,"6,263",,84.40%,11.60%,0.20%,1.10%,0.00%,0.90%,1.70%,5.00%,(X)
ZCTA5 19128,,,,,,,,,,,
    Estimate,"36,958",,"30,529","3,596",78,"1,280",24,514,937,"1,507","16,840"
    Percent,"36,958",,82.60%,9.70%,0.20%,3.50%,0.10%,1.40%,2.50%,4.10%,(X)
ZCTA5 19129,,,,,,,,,,,
    Estimate,"11,018",,"5,686","4,226",0,584,5,138,379,473,"5,038"
    Percent,"11,018",,51.60%,38.40%,0.00%,5.30%,0.00%,1.30%,3.40%,4.30%,(X)
ZCTA5 19130,,,,,,,,,,,
    Estimate,"26,765",,"17,717","6,056",35,"1,724",0,715,518,"1,789","14,169"
    Percent,"26,765",,66.20%,22.60%,0.10%,6.40%,0.00%,2.70%,1.90%,6.70%,(X)
ZCTA5 19131,,,,,,,,,,,
    Estimate,"41,797",,"5,656","33,163",230,"1,600",34,482,632,"1,310","20,802"
    Percent,"41,797",,13.50%,79.30%,0.60%,3.80%,0.10%,1.20%,1.50%,3.10%,(X)
ZCTA5 19132,,,,,,,,,,,
    Estimate,"34,590",,"1,307","32,121",95,299,0,217,551,"1,070","18,191"
    Percent,"34,590",,3.80%,92.90%,0.30%,0.90%,0.00%,0.60%,1.60%,3.10%,(X)
ZCTA5 19133,,,,,,,,,,,
    Estimate,"26,811",,"7,371","9,021",162,289,0,"9,279",689,"17,069","10,556"
    Percent,"26,811",,27.50%,33.60%,0.60%,1.10%,0.00%,34.60%,2.60%,63.70%,(X)
ZCTA5 19134,,,,,,,,,,,
    Estimate,"64,089",,"35,030","13,263",699,761,50,"11,645","2,641","29,606","23,452"
    Percent,"64,089",,54.70%,20.70%,1.10%,1.20%,0.10%,18.20%,4.10%,46.20%,(X)
ZCTA5 19135,,,,,,,,,,,
    Estimate,"31,599",,"19,932","6,826",165,931,0,"2,891",854,"6,945","13,264"
    Percent,"31,599",,63.10%,21.60%,0.50%,2.90%,0.00%,9.10%,2.70%,22.00%,(X)
ZCTA5 19136,,,,,,,,,,,
    Estimate,"33,656",,"25,132","5,309",55,907,13,"1,440",800,"3,308","13,445"
    Percent,"33,656",,74.70%,15.80%,0.20%,2.70%,0.00%,4.30%,2.40%,9.80%,(X)
ZCTA5 19137,,,,,,,,,,,
    Estimate,"8,284",,"7,861",214,29,67,12,49,52,649,"3,319"
    Percent,"8,284",,94.90%,2.60%,0.40%,0.80%,0.10%,0.60%,0.60%,7.80%,(X)
ZCTA5 19138,,,,,,,,,,,
    Estimate,"33,808",,"1,250","31,315",16,167,0,227,833,807,"13,659"
    Percent,"33,808",,3.70%,92.60%,0.00%,0.50%,0.00%,0.70%,2.50%,2.40%,(X)
ZCTA5 19139,,,,,,,,,,,
    Estimate,"43,499",,"2,434","38,875",70,797,0,510,813,"1,275","20,539"
    Percent,"43,499",,5.60%,89.40%,0.20%,1.80%,0.00%,1.20%,1.90%,2.90%,(X)
ZCTA5 19140,,,,,,,,,,,
    Estimate,"51,132",,"8,423","30,290",502,454,192,"9,658","1,613","21,333","22,284"
    Percent,"51,132",,16.50%,59.20%,1.00%,0.90%,0.40%,18.90%,3.20%,41.70%,(X)
ZCTA5 19141,,,,,,,,,,,
    Estimate,"34,316",,"2,631","29,334",36,"1,515",0,152,648,"1,418","14,123"
    Percent,"34,316",,7.70%,85.50%,0.10%,4.40%,0.00%,0.40%,1.90%,4.10%,(X)
ZCTA5 19142,,,,,,,,,,,
    Estimate,"28,221",,"2,240","22,688",35,"2,667",0,275,316,942,"11,301"
