Label (Grouping),Occupied housing units,Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS),Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),Occupied housing units!!MONTHLY HOUSING COSTS,Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars)
ZCTA5 19102,,,,,
    Occupied housing units,,,,,
        Estimate,"2,978",,"90,750",,"1,952"
    Percent occupied housing units,,,,,
        Estimate,"2,978",,"90,750",,"1,952"
    Owner-occupied housing units,,,,,
        Estimate,890,,"121,643",,"2,106"
    Percent owner-occupied housing units,,,,,
        Estimate,890,,"121,643",,"2,106"
    Renter-occupied housing units,,,,,
        Estimate,"2,088",,"81,372",,"1,933"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,088",,"81,372",,"1,933"
ZCTA5 19103,,,,,
    Occupied housing units,,,,,
        Estimate,"15,097",,"73,611",,"1,707"
    Percent occupied housing units,,,,,
        Estimate,"15,097",,"73,611",,"1,707"
    Owner-occupied housing units,,,,,
        Estimate,"4,915",,"118,417",,"1,788"
    Percent owner-occupied housing units,,,,,
        Estimate,"4,915",,"118,417",,"1,788"
    Renter-occupied housing units,,,,,
        Estimate,"10,182",,"64,869",,"1,708"
    Percent renter-occupied housing units,,,,,
        Estimate,"10,182",,"64,869",,"1,708"
ZCTA5 19104,,,,,
    Occupied housing units,,,,,
        Estimate,"16,368",,"25,865",,935
    Percent occupied housing units,,,,,
        Estimate,"16,368",,"25,865",,935
    Owner-occupied housing units,,,,,
        Estimate,"3,571",,"45,125",,683
    Percent owner-occupied housing units,,,,,
        Estimate,"3,571",,"45,125",,683
    Renter-occupied housing units,,,,,
        Estimate,"12,797",,"20,841",,969
    Percent renter-occupied housing units,,,,,
        Estimate,"12,797",,"20,841",,969
ZCTA5 19106,,,,,
    Occupied housing units,,,,,
        Estimate,"6,519",,"109,393",,"1,866"
    Percent occupied housing units,,,,,
        Estimate,"6,519",,"109,393",,"1,866"
    Owner-occupied housing units,,,,,
        Estimate,"3,125",,"131,442",,"2,149"
    Percent owner-occupied housing units,,,,,
        Estimate,"3,125",,"131,442",,"2,149"
    Renter-occupied housing units,,,,,
        Estimate,"3,394",,"100,185",,"1,772"
    Percent renter-occupied housing units,,,,,
        Estimate,"3,394",,"100,185",,"1,772"
ZCTA5 19107,,,,,
    Occupied housing units,,,,,
        Estimate,"7,371",,"53,534",,"1,320"
    Percent occupied housing units,,,,,
        Estimate,"7,371",,"53,534",,"1,320"
    Owner-occupied housing units,,,,,
        Estimate,"1,582",,"88,608",,"1,503"
    Percent owner-occupied housing units,,,,,
        Estimate,"1,582",,"88,608",,"1,503"
    Renter-occupied housing units,,,,,
        Estimate,"5,789",,"47,176",,"1,273"
    Percent renter-occupied housing units,,,,,
        Estimate,"5,789",,"47,176",,"1,273"
ZCTA5 19111,,,,,
    Occupied housing units,,,,,
        Estimate,"23,930",,"48,186",,"1,016"
    Percent occupied housing units,,,,,
        Estimate,"23,930",,"48,186",,"1,016"
    Owner-occupied housing units,,,,,
        Estimate,"13,795",,"65,614",,"1,052"
    Percent owner-occupied housing units,,,,,
        Estimate,"13,795",,"65,614",,"1,052"
    Renter-occupied housing units,,,,,
        Estimate,"10,135",,"32,375",,989
    Percent renter-occupied housing units,,,,,
        Estimate,"10,135",,"32,375",,989
ZCTA5 19112,,,,,
    Occupied housing units,,,,,
        Estimate,0,,-,,-
    Percent occupied housing units,,,,,
        Estimate,0,,-,,-
    Owner-occupied housing units,,,,,
        Estimate,0,,-,,-
    Percent owner-occupied housing units,,,,,
        Estimate,0,,-,,-
    Renter-occupied housing units,,,,,
        Estimate,0,,-,,-
    Percent renter-occupied housing units,,,,,
        Estimate,0,,-,,-
ZCTA5 19114,,,,,
    Occupied housing units,,,,,
        Estimate,"12,988",,"56,781",,"1,093"
    Percent occupied housing units,,,,,
        Estimate,"12,988",,"56,781",,"1,093"
    Owner-occupied housing units,,,,,
        Estimate,"8,059",,"73,020",,"1,098"
    Percent owner-occupied housing units,,,,,
        Estimate,"8,059",,"73,020",,"1,098"
    Renter-occupied housing units,,,,,
        Estimate,"4,929",,"38,727",,"1,091"
    Percent renter-occupied housing units,,,,,
        Estimate,"4,929",,"38,727",,"1,091"
ZCTA5 19115,,,,,
    Occupied housing units,,,,,
        Estimate,"13,767",,"52,635",,"1,002"
    Percent occupied housing units,,,,,
        Estimate,"13,767",,"52,635",,"1,002"
    Owner-occupied housing units,,,,,
        Estimate,"7,841",,"79,475",,"1,163"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,841",,"79,475",,"1,163"
    Renter-occupied housing units,,,,,
        Estimate,"5,926",,"33,994",,963
    Percent renter-occupied housing units,,,,,
        Estimate,"5,926",,"33,994",,963
ZCTA5 19116,,,,,
    Occupied housing units,,,,,
        Estimate,"12,664",,"55,123",,"1,069"
    Percent occupied housing units,,,,,
        Estimate,"12,664",,"55,123",,"1,069"
    Owner-occupied housing units,,,,,
        Estimate,"7,537",,"77,456",,"1,246"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,537",,"77,456",,"1,246"
    Renter-occupied housing units,,,,,
        Estimate,"5,127",,"29,195",,"1,000"
    Percent renter-occupied housing units,,,,,
        Estimate,"5,127",,"29,195",,"1,000"
ZCTA5 19118,,,,,
    Occupied housing units,,,,,
        Estimate,"4,435",,"85,437",,"1,681"
    Percent occupied housing units,,,,,
        Estimate,"4,435",,"85,437",,"1,681"
    Owner-occupied housing units,,,,,
        Estimate,"2,023",,"147,228",,"2,156"
    Percent owner-occupied housing units,,,,,
        Estimate,"2,023",,"147,228",,"2,156"
    Renter-occupied housing units,,,,,
        Estimate,"2,412",,"57,250",,"1,489"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,412",,"57,250",,"1,489"
ZCTA5 19119,,,,,
    Occupied housing units,,,,,
        Estimate,"11,930",,"61,297",,"1,124"
    Percent occupied housing units,,,,,
        Estimate,"11,930",,"61,297",,"1,124"
    Owner-occupied housing units,,,,,
        Estimate,"7,651",,"83,686",,"1,309"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,651",,"83,686",,"1,309"
    Renter-occupied housing units,,,,,
        Estimate,"4,279",,"39,040",,983
    Percent renter-occupied housing units,,,,,
        Estimate,"4,279",,"39,040",,983
ZCTA5 19120,,,,,
    Occupied housing units,,,,,
        Estimate,"23,206",,"37,891",,902
    Percent occupied housing units,,,,,
        Estimate,"23,206",,"37,891",,902
    Owner-occupied housing units,,,,,
        Estimate,"13,862",,"46,678",,842
    Percent owner-occupied housing units,,,,,
        Estimate,"13,862",,"46,678",,842
    Renter-occupied housing units,,,,,
