Label (Grouping),Occupied housing units,Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),Occupied housing units!!MONTHLY HOUSING COSTS,Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars)
ZCTA5 19102,,,,,
    Occupied housing units,,,,,
        Estimate,"2,996",,"99,167",,"2,011"
    Percent occupied housing units,,,,,
        Estimate,"2,996",,"99,167",,"2,011"
    Owner-occupied housing units,,,,,
        Estimate,833,,"106,250",,"2,159"
    Percent owner-occupied housing units,,,,,
        Estimate,833,,"106,250",,"2,159"
    Renter-occupied housing units,,,,,
        Estimate,"2,163",,"89,298",,"1,996"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,163",,"89,298",,"1,996"
ZCTA5 19103,,,,,
    Occupied housing units,,,,,
        Estimate,"14,496",,"70,638",,"1,648"
    Percent occupied housing units,,,,,
        Estimate,"14,496",,"70,638",,"1,648"
    Owner-occupied housing units,,,,,
        Estimate,"4,677",,"115,250",,"1,856"
    Percent owner-occupied housing units,,,,,
        Estimate,"4,677",,"115,250",,"1,856"
    Renter-occupied housing units,,,,,
        Estimate,"9,819",,"59,731",,"1,615"
    Percent renter-occupied housing units,,,,,
        Estimate,"9,819",,"59,731",,"1,615"
ZCTA5 19104,,,,,
    Occupied housing units,,,,,
        Estimate,"16,002",,"25,005",,901
    Percent occupied housing units,,,,,
        Estimate,"16,002",,"25,005",,901
    Owner-occupied housing units,,,,,
        Estimate,"3,242",,"43,734",,618
    Percent owner-occupied housing units,,,,,
        Estimate,"3,242",,"43,734",,618
    Renter-occupied housing units,,,,,
        Estimate,"12,760",,"20,272",,932
    Percent renter-occupied housing units,,,,,
        Estimate,"12,760",,"20,272",,932
ZCTA5 19106,,,,,
    Occupied housing units,,,,,
        Estimate,"6,220",,"106,823",,"1,779"
    Percent occupied housing units,,,,,
        Estimate,"6,220",,"106,823",,"1,779"
    Owner-occupied housing units,,,,,
        Estimate,"2,863",,"129,896",,"2,057"
    Percent owner-occupied housing units,,,,,
        Estimate,"2,863",,"129,896",,"2,057"
    Renter-occupied housing units,,,,,
        Estimate,"3,357",,"86,641",,"1,745"
    Percent renter-occupied housing units,,,,,
        Estimate,"3,357",,"86,641",,"1,745"
ZCTA5 19107,,,,,
    Occupied housing units,,,,,
        Estimate,"7,181",,"49,776",,"1,255"
    Percent occupied housing units,,,,,
        Estimate,"7,181",,"49,776",,"1,255"
    Owner-occupied housing units,,,,,
        Estimate,"1,404",,"87,202",,"1,514"
    Percent owner-occupied housing units,,,,,
        Estimate,"1,404",,"87,202",,"1,514"
    Renter-occupied housing units,,,,,
        Estimate,"5,777",,"41,359",,"1,214"
    Percent renter-occupied housing units,,,,,
        Estimate,"5,777",,"41,359",,"1,214"
ZCTA5 19111,,,,,
    Occupied housing units,,,,,
        Estimate,"23,930",,"46,214",,985
    Percent occupied housing units,,,,,
        Estimate,"23,930",,"46,214",,985
    Owner-occupied housing units,,,,,
        Estimate,"13,874",,"63,963",,"1,031"
    Percent owner-occupied housing units,,,,,
        Estimate,"13,874",,"63,963",,"1,031"
    Renter-occupied housing units,,,,,
        Estimate,"10,056",,"30,298",,958
    Percent renter-occupied housing units,,,,,
        Estimate,"10,056",,"30,298",,958
ZCTA5 19112,,,,,
    Occupied housing units,,,,,
        Estimate,0,,-,,-
    Percent occupied housing units,,,,,
        Estimate,0,,-,,-
    Owner-occupied housing units,,,,,
        Estimate,0,,-,,-
    Percent owner-occupied housing units,,,,,
        Estimate,0,,-,,-
    Renter-occupied housing units,,,,,
        Estimate,0,,-,,-
    Percent renter-occupied housing units,,,,,
        Estimate,0,,-,,-
ZCTA5 19114,,,,,
    Occupied housing units,,,,,
        Estimate,"12,783",,"56,785",,"1,074"
    Percent occupied housing units,,,,,
        Estimate,"12,783",,"56,785",,"1,074"
    Owner-occupied housing units,,,,,
        Estimate,"7,944",,"70,433",,"1,081"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,944",,"70,433",,"1,081"
    Renter-occupied housing units,,,,,
        Estimate,"4,839",,"38,949",,"1,071"
    Percent renter-occupied housing units,,,,,
        Estimate,"4,839",,"38,949",,"1,071"
ZCTA5 19115,,,,,
    Occupied housing units,,,,,
        Estimate,"13,648",,"50,810",,969
    Percent occupied housing units,,,,,
        Estimate,"13,648",,"50,810",,969
    Owner-occupied housing units,,,,,
        Estimate,"7,779",,"75,370",,"1,076"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,779",,"75,370",,"1,076"
    Renter-occupied housing units,,,,,
        Estimate,"5,869",,"32,338",,944
    Percent renter-occupied housing units,,,,,
        Estimate,"5,869",,"32,338",,944
ZCTA5 19116,,,,,
    Occupied housing units,,,,,
        Estimate,"12,662",,"51,267",,"1,017"
    Percent occupied housing units,,,,,
        Estimate,"12,662",,"51,267",,"1,017"
    Owner-occupied housing units,,,,,
        Estimate,"7,473",,"72,427",,"1,224"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,473",,"72,427",,"1,224"
    Renter-occupied housing units,,,,,
        Estimate,"5,189",,"28,565",,937
    Percent renter-occupied housing units,,,,,
        Estimate,"5,189",,"28,565",,937
ZCTA5 19118,,,,,
    Occupied housing units,,,,,
        Estimate,"4,388",,"82,712",,"1,629"
    Percent occupied housing units,,,,,
        Estimate,"4,388",,"82,712",,"1,629"
    Owner-occupied housing units,,,,,
        Estimate,"2,016",,"149,674",,"2,155"
    Percent owner-occupied housing units,,,,,
        Estimate,"2,016",,"149,674",,"2,155"
    Renter-occupied housing units,,,,,
        Estimate,"2,372",,"52,955",,"1,450"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,372",,"52,955",,"1,450"
ZCTA5 19119,,,,,
    Occupied housing units,,,,,
        Estimate,"11,859",,"56,018",,"1,072"
    Percent occupied housing units,,,,,
        Estimate,"11,859",,"56,018",,"1,072"
    Owner-occupied housing units,,,,,
        Estimate,"7,526",,"77,604",,"1,258"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,526",,"77,604",,"1,258"
    Renter-occupied housing units,,,,,
        Estimate,"4,333",,"36,986",,956
    Percent renter-occupied housing units,,,,,
        Estimate,"4,333",,"36,986",,956
ZCTA5 19120,,,,,
    Occupied housing units,,,,,
        Estimate,"23,294",,"33,117",,907
    Percent occupied housing units,,,,,
        Estimate,"23,294",,"33,117",,907
    Owner-occupied housing units,,,,,
        Estimate,"12,660",,"44,409",,847
    Percent owner-occupied housing units,,,,,
        Estimate,"12,660",,"44,409",,847
    Renter-occupied housing units,,,,,
        Estimate,"10,634",,"20,388",,965
    Percent renter-occupied housing units,,,,,
