Label (Grouping),SEX AND AGE!!Total population,RACE,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Total housing units
ZCTA5 19102,,,,,,,,,,,
    Estimate,"4,937",,"3,842",220,11,809,0,14,41,259,"3,536"
    Percent,"4,937",,77.80%,4.50%,0.20%,16.40%,0.00%,0.30%,0.80%,5.20%,(X)
ZCTA5 19103,,,,,,,,,,,
    Estimate,"24,219",,"18,731","1,499",72,"2,840",31,103,943,"1,377","17,328"
    Percent,"24,219",,77.30%,6.20%,0.30%,11.70%,0.10%,0.40%,3.90%,5.70%,(X)
ZCTA5 19104,,,,,,,,,,,
    Estimate,"54,311",,"20,419","22,962",291,"7,662",62,838,"2,077","2,766","19,895"
    Percent,"54,311",,37.60%,42.30%,0.50%,14.10%,0.10%,1.50%,3.80%,5.10%,(X)
ZCTA5 19106,,,,,,,,,,,
    Estimate,"12,375",,"10,179","1,054",0,798,0,62,282,797,"7,465"
    Percent,"12,375",,82.30%,8.50%,0.00%,6.40%,0.00%,0.50%,2.30%,6.40%,(X)
ZCTA5 19107,,,,,,,,,,,
    Estimate,"13,696",,"8,085","1,117",73,"3,720",0,131,570,703,"8,427"
    Percent,"13,696",,59.00%,8.20%,0.50%,27.20%,0.00%,1.00%,4.20%,5.10%,(X)
ZCTA5 19111,,,,,,,,,,,
    Estimate,"68,263",,"36,706","16,409",465,"6,940",0,"5,537","2,206","13,449","26,204"
    Percent,"68,263",,53.80%,24.00%,0.70%,10.20%,0.00%,8.10%,3.20%,19.70%,(X)
ZCTA5 19112,,,,,,,,,,,
    Estimate,0,,0,0,0,0,0,0,0,0,0
    Percent,0,,-,-,-,-,-,-,-,-,(X)
ZCTA5 19114,,,,,,,,,,,
    Estimate,"31,736",,"25,581","3,262",66,"1,284",23,"1,076",444,"2,843","13,936"
    Percent,"31,736",,80.60%,10.30%,0.20%,4.00%,0.10%,3.40%,1.40%,9.00%,(X)
ZCTA5 19115,,,,,,,,,,,
    Estimate,"34,479",,"25,168","3,410",106,"4,475",57,510,753,"2,593","14,484"
    Percent,"34,479",,73.00%,9.90%,0.30%,13.00%,0.20%,1.50%,2.20%,7.50%,(X)
ZCTA5 19116,,,,,,,,,,,
    Estimate,"34,912",,"24,503","2,101",148,"5,849",0,"1,218","1,093","2,208","13,348"
    Percent,"34,912",,70.20%,6.00%,0.40%,16.80%,0.00%,3.50%,3.10%,6.30%,(X)
ZCTA5 19118,,,,,,,,,,,
    Estimate,"10,919",,"7,556","2,091",5,580,0,343,344,756,"4,730"
    Percent,"10,919",,69.20%,19.20%,0.00%,5.30%,0.00%,3.10%,3.20%,6.90%,(X)
ZCTA5 19119,,,,,,,,,,,
    Estimate,"29,391",,"9,616","17,207",108,567,0,288,"1,605",855,"13,386"
    Percent,"29,391",,32.70%,58.50%,0.40%,1.90%,0.00%,1.00%,5.50%,2.90%,(X)
ZCTA5 19120,,,,,,,,,,,
    Estimate,"74,971",,"12,735","39,072",548,"8,307",19,"11,444","2,846","23,091","24,831"
    Percent,"74,971",,17.00%,52.10%,0.70%,11.10%,0.00%,15.30%,3.80%,30.80%,(X)
ZCTA5 19121,,,,,,,,,,,
    Estimate,"30,733",,"4,606","23,664",179,"1,210",95,600,379,"1,946","16,528"
    Percent,"30,733",,15.00%,77.00%,0.60%,3.90%,0.30%,2.00%,1.20%,6.30%,(X)
ZCTA5 19122,,,,,,,,,,,
    Estimate,"22,187",,"9,119","8,403",49,"1,336",9,"2,090","1,181","6,152","7,797"
    Percent,"22,187",,41.10%,37.90%,0.20%,6.00%,0.00%,9.40%,5.30%,27.70%,(X)
ZCTA5 19123,,,,,,,,,,,
    Estimate,"15,681",,"8,496","4,719",77,"1,190",0,380,819,"1,626","8,437"
    Percent,"15,681",,54.20%,30.10%,0.50%,7.60%,0.00%,2.40%,5.20%,10.40%,(X)
ZCTA5 19124,,,,,,,,,,,
