Label (Grouping),SEX AND AGE!!Total population,RACE,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Total housing units
ZCTA5 19102,,,,,,,,,,,
    Estimate,"5,108",,"3,894",161,0,868,0,21,164,301,"4,040"
    Percent,"5,108",,76.20%,3.20%,0.00%,17.00%,0.00%,0.40%,3.20%,5.90%,(X)
ZCTA5 19103,,,,,,,,,,,
    Estimate,"25,368",,"18,535","1,313",37,"3,536",0,343,"1,604","1,473","19,171"
    Percent,"25,368",,73.10%,5.20%,0.10%,13.90%,0.00%,1.40%,6.30%,5.80%,(X)
ZCTA5 19104,,,,,,,,,,,
    Estimate,"52,126",,"19,254","21,207",615,"7,681",0,"1,043","2,326","3,165","22,155"
    Percent,"52,126",,36.90%,40.70%,1.20%,14.70%,0.00%,2.00%,4.50%,6.10%,(X)
ZCTA5 19106,,,,,,,,,,,
    Estimate,"14,211",,"11,713",925,41,"1,016",9,184,323,"1,040","9,208"
    Percent,"14,211",,82.40%,6.50%,0.30%,7.10%,0.10%,1.30%,2.30%,7.30%,(X)
ZCTA5 19107,,,,,,,,,,,
    Estimate,"14,984",,"7,871","1,831",64,"3,976",48,192,"1,002",884,"9,572"
    Percent,"14,984",,52.50%,12.20%,0.40%,26.50%,0.30%,1.30%,6.70%,5.90%,(X)
ZCTA5 19111,,,,,,,,,,,
    Estimate,"68,452",,"33,477","17,544",398,"6,882",0,"5,855","4,296","14,807","27,528"
    Percent,"68,452",,48.90%,25.60%,0.60%,10.10%,0.00%,8.60%,6.30%,21.60%,(X)
ZCTA5 19112,,,,,,,,,,,
    Estimate,0,,0,0,0,0,0,0,0,0,0
    Percent,0,,-,-,-,-,-,-,-,-,(X)
ZCTA5 19114,,,,,,,,,,,
    Estimate,"31,815",,"24,019","3,233",99,"1,417",59,"1,261","1,727","3,172","14,403"
    Percent,"31,815",,75.50%,10.20%,0.30%,4.50%,0.20%,4.00%,5.40%,10.00%,(X)
ZCTA5 19115,,,,,,,,,,,
    Estimate,"35,901",,"23,441","4,089",0,"6,008",5,997,"1,361","3,089","15,135"
    Percent,"35,901",,65.30%,11.40%,0.00%,16.70%,0.00%,2.80%,3.80%,8.60%,(X)
ZCTA5 19116,,,,,,,,,,,
    Estimate,"33,573",,"24,036","1,735",41,"5,698",16,817,"1,230","1,875","14,015"
    Percent,"33,573",,71.60%,5.20%,0.10%,17.00%,0.00%,2.40%,3.70%,5.60%,(X)
ZCTA5 19118,,,,,,,,,,,
    Estimate,"10,743",,"7,744","2,104",7,354,0,131,403,476,"5,194"
    Percent,"10,743",,72.10%,19.60%,0.10%,3.30%,0.00%,1.20%,3.80%,4.40%,(X)
ZCTA5 19119,,,,,,,,,,,
    Estimate,"29,206",,"9,934","16,934",130,426,0,279,"1,503",825,"13,720"
    Percent,"29,206",,34.00%,58.00%,0.40%,1.50%,0.00%,1.00%,5.10%,2.80%,(X)
ZCTA5 19120,,,,,,,,,,,
    Estimate,"73,896",,"9,125","37,108",376,"7,663",6,"14,105","5,513","23,990","25,794"
    Percent,"73,896",,12.30%,50.20%,0.50%,10.40%,0.00%,19.10%,7.50%,32.50%,(X)
ZCTA5 19121,,,,,,,,,,,
    Estimate,"34,702",,"6,428","24,630",31,"1,417",33,853,"1,310","3,205","18,054"
    Percent,"34,702",,18.50%,71.00%,0.10%,4.10%,0.10%,2.50%,3.80%,9.20%,(X)
ZCTA5 19122,,,,,,,,,,,
    Estimate,"22,080",,"8,782","7,710",9,"1,467",0,"2,825","1,287","4,922","8,954"
    Percent,"22,080",,39.80%,34.90%,0.00%,6.60%,0.00%,12.80%,5.80%,22.30%,(X)
ZCTA5 19123,,,,,,,,,,,
    Estimate,"18,071",,"10,523","4,417",52,"1,634",0,561,884,"1,785","9,710"
    Percent,"18,071",,58.20%,24.40%,0.30%,9.00%,0.00%,3.10%,4.90%,9.90%,(X)
ZCTA5 19124,,,,,,,,,,,
    Estimate,"71,496",,"20,630","24,232",267,"3,099",57,"16,939","6,272","33,986","26,504"
    Percent,"71,496",,28.90%,33.90%,0.40%,4.30%,0.10%,23.70%,8.80%,47.50%,(X)
ZCTA5 19125,,,,,,,,,,,
    Estimate,"24,948",,"19,630","1,367",131,"1,703",0,740,"1,377","2,948","12,312"
    Percent,"24,948",,78.70%,5.50%,0.50%,6.80%,0.00%,3.00%,5.50%,11.80%,(X)
ZCTA5 19126,,,,,,,,,,,
    Estimate,"18,269",,"1,438","15,376",31,456,0,181,787,634,"7,389"
    Percent,"18,269",,7.90%,84.20%,0.20%,2.50%,0.00%,1.00%,4.30%,3.50%,(X)
ZCTA5 19127,,,,,,,,,,,
    Estimate,"5,522",,"4,798",324,1,174,0,1,224,219,"3,180"
    Percent,"5,522",,86.90%,5.90%,0.00%,3.20%,0.00%,0.00%,4.10%,4.00%,(X)
ZCTA5 19128,,,,,,,,,,,
    Estimate,"38,840",,"29,535","5,197",54,"1,168",4,897,"1,985","2,616","18,782"
