Label (Grouping),Occupied housing units,Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),Occupied housing units!!MONTHLY HOUSING COSTS,Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars)
ZCTA5 19102,,,,,
    Occupied housing units,,,,,
        Estimate,"3,055",,"96,953",,"2,094"
    Percent occupied housing units,,,,,
        Estimate,"3,055",,"96,953",,"2,094"
    Owner-occupied housing units,,,,,
        Estimate,845,,"155,469",,"2,346"
    Percent owner-occupied housing units,,,,,
        Estimate,845,,"155,469",,"2,346"
    Renter-occupied housing units,,,,,
        Estimate,"2,210",,"85,192",,"2,058"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,210",,"85,192",,"2,058"
ZCTA5 19103,,,,,
    Occupied housing units,,,,,
        Estimate,"15,177",,"76,103",,"1,766"
    Percent occupied housing units,,,,,
        Estimate,"15,177",,"76,103",,"1,766"
    Owner-occupied housing units,,,,,
        Estimate,"5,030",,"115,655",,"1,886"
    Percent owner-occupied housing units,,,,,
        Estimate,"5,030",,"115,655",,"1,886"
    Renter-occupied housing units,,,,,
        Estimate,"10,147",,"66,919",,"1,758"
    Percent renter-occupied housing units,,,,,
        Estimate,"10,147",,"66,919",,"1,758"
ZCTA5 19104,,,,,
    Occupied housing units,,,,,
        Estimate,"16,340",,"26,979",,956
    Percent occupied housing units,,,,,
        Estimate,"16,340",,"26,979",,956
    Owner-occupied housing units,,,,,
        Estimate,"3,502",,"48,667",,674
    Percent owner-occupied housing units,,,,,
        Estimate,"3,502",,"48,667",,674
    Renter-occupied housing units,,,,,
        Estimate,"12,838",,"22,508",,997
    Percent renter-occupied housing units,,,,,
        Estimate,"12,838",,"22,508",,997
ZCTA5 19106,,,,,
    Occupied housing units,,,,,
        Estimate,"6,736",,"107,388",,"1,931"
    Percent occupied housing units,,,,,
        Estimate,"6,736",,"107,388",,"1,931"
    Owner-occupied housing units,,,,,
        Estimate,"3,307",,"139,961",,"2,270"
    Percent owner-occupied housing units,,,,,
        Estimate,"3,307",,"139,961",,"2,270"
    Renter-occupied housing units,,,,,
        Estimate,"3,429",,"90,799",,"1,788"
    Percent renter-occupied housing units,,,,,
        Estimate,"3,429",,"90,799",,"1,788"
ZCTA5 19107,,,,,
    Occupied housing units,,,,,
        Estimate,"7,675",,"57,735",,"1,398"
    Percent occupied housing units,,,,,
        Estimate,"7,675",,"57,735",,"1,398"
    Owner-occupied housing units,,,,,
        Estimate,"1,575",,"86,375",,"1,696"
    Percent owner-occupied housing units,,,,,
        Estimate,"1,575",,"86,375",,"1,696"
    Renter-occupied housing units,,,,,
        Estimate,"6,100",,"52,627",,"1,346"
    Percent renter-occupied housing units,,,,,
        Estimate,"6,100",,"52,627",,"1,346"
ZCTA5 19111,,,,,
    Occupied housing units,,,,,
        Estimate,"24,251",,"51,051",,"1,038"
    Percent occupied housing units,,,,,
        Estimate,"24,251",,"51,051",,"1,038"
    Owner-occupied housing units,,,,,
        Estimate,"13,936",,"70,232",,"1,085"
    Percent owner-occupied housing units,,,,,
        Estimate,"13,936",,"70,232",,"1,085"
    Renter-occupied housing units,,,,,
        Estimate,"10,315",,"35,806",,"1,002"
    Percent renter-occupied housing units,,,,,
        Estimate,"10,315",,"35,806",,"1,002"
ZCTA5 19112,,,,,
    Occupied housing units,,,,,
        Estimate,0,,-,,-
    Percent occupied housing units,,,,,
        Estimate,0,,-,,-
    Owner-occupied housing units,,,,,
        Estimate,0,,-,,-
    Percent owner-occupied housing units,,,,,
        Estimate,0,,-,,-
    Renter-occupied housing units,,,,,
        Estimate,0,,-,,-
    Percent renter-occupied housing units,,,,,
        Estimate,0,,-,,-
ZCTA5 19114,,,,,
    Occupied housing units,,,,,
        Estimate,"12,964",,"60,970",,"1,143"
    Percent occupied housing units,,,,,
        Estimate,"12,964",,"60,970",,"1,143"
    Owner-occupied housing units,,,,,
        Estimate,"8,093",,"77,966",,"1,155"
    Percent owner-occupied housing units,,,,,
        Estimate,"8,093",,"77,966",,"1,155"
    Renter-occupied housing units,,,,,
        Estimate,"4,871",,"41,114",,"1,137"
    Percent renter-occupied housing units,,,,,
        Estimate,"4,871",,"41,114",,"1,137"
ZCTA5 19115,,,,,
    Occupied housing units,,,,,
        Estimate,"13,533",,"55,621",,"1,050"
    Percent occupied housing units,,,,,
        Estimate,"13,533",,"55,621",,"1,050"
    Owner-occupied housing units,,,,,
        Estimate,"7,866",,"83,975",,"1,223"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,866",,"83,975",,"1,223"
    Renter-occupied housing units,,,,,
        Estimate,"5,667",,"33,410",,986
    Percent renter-occupied housing units,,,,,
        Estimate,"5,667",,"33,410",,986
ZCTA5 19116,,,,,
    Occupied housing units,,,,,
        Estimate,"12,643",,"57,126",,"1,092"
    Percent occupied housing units,,,,,
        Estimate,"12,643",,"57,126",,"1,092"
    Owner-occupied housing units,,,,,
        Estimate,"7,640",,"82,440",,"1,238"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,640",,"82,440",,"1,238"
    Renter-occupied housing units,,,,,
        Estimate,"5,003",,"30,405",,"1,042"
    Percent renter-occupied housing units,,,,,
        Estimate,"5,003",,"30,405",,"1,042"
ZCTA5 19118,,,,,
    Occupied housing units,,,,,
        Estimate,"4,503",,"89,422",,"1,646"
    Percent occupied housing units,,,,,
        Estimate,"4,503",,"89,422",,"1,646"
    Owner-occupied housing units,,,,,
        Estimate,"2,022",,"158,145",,"2,110"
    Percent owner-occupied housing units,,,,,
        Estimate,"2,022",,"158,145",,"2,110"
    Renter-occupied housing units,,,,,
        Estimate,"2,481",,"64,205",,"1,485"
    Percent renter-occupied housing units,,,,,
        Estimate,"2,481",,"64,205",,"1,485"
ZCTA5 19119,,,,,
    Occupied housing units,,,,,
        Estimate,"11,785",,"64,237",,"1,112"
    Percent occupied housing units,,,,,
        Estimate,"11,785",,"64,237",,"1,112"
    Owner-occupied housing units,,,,,
        Estimate,"7,600",,"84,433",,"1,278"
    Percent owner-occupied housing units,,,,,
        Estimate,"7,600",,"84,433",,"1,278"
    Renter-occupied housing units,,,,,
        Estimate,"4,185",,"38,503",,"1,005"
    Percent renter-occupied housing units,,,,,
        Estimate,"4,185",,"38,503",,"1,005"
ZCTA5 19120,,,,,
    Occupied housing units,,,,,
        Estimate,"23,445",,"37,360",,897
    Percent occupied housing units,,,,,
        Estimate,"23,445",,"37,360",,897
    Owner-occupied housing units,,,,,
        Estimate,"14,049",,"47,502",,829
    Percent owner-occupied housing units,,,,,
        Estimate,"14,049",,"47,502",,829
    Renter-occupied housing units,,,,,
